set	lib_id	repscores_woX	G1_cells	IQR_filter	out_5_95_rep	Man_filter
d2	CBMS1_Day2Diff_ESC_single_35perS_11	0.0773647627682079	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_35perS_06	0.082262297288204	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_25perS_03	0.0858046924967179	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_25perS_08	0.0912629757785467	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_45perS_04	0.101166250555765	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_25perS_07	0.10848850129634	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_55perS_09	0.11614991209845	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_45perS_05	0.147318718381113	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_35perS_07	0.157452246435297	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_45perS_08	0.17237017537862	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_35perS_02	0.175574586196392	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_45perS_03	0.183614137097622	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_35perS_03	0.203944706675657	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_35perS_09	0.208382506659473	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_25perS_05	0.23011622031329	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_35perS_05	0.235339818943386	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_25perS_04	0.236624040920716	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_55perS_08	0.252039371671273	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_35perS_08	0.258388805868768	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_55perS_07	0.327362882007691	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_25perS_02	0.333647153760802	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_65perS_07	0.337767300892406	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_35perS_01	0.345107688159358	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_45perS_07	0.350486646684404	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_35perS_12	0.355430520034101	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_55perS_06	0.39018297211532	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_25perS_12	0.406600060551014	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_35perS_10	0.450802535743189	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_55perS_11	0.468713065207848	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_65perS_08	0.480568944015639	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_75perS_07	0.53663306247682	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_25perS_10	0.53879324866085	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_45perS_10	0.54009648797274	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_65perS_09	0.594453254158372	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_45perS_09	0.598097422749966	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_65perS_11	0.601666048362618	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_65perS_13	0.677787119556079	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_75perS_10	0.694714645262227	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_65perS_10	0.704507906537645	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_55perS_03	0.725443383356071	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_75perS_09	0.759376686454398	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_65perS_03	0.780546190155091	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_65perS_01	0.782935798387369	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_75perS_06	0.78603003205669	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_65perS_02	0.816440111984349	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_55perS_04	0.837391186071817	NA	1	NA	NA
d2	CBMS1_Day2Diff_ESC_single_75perS_05	0.839285112122745	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_55perS_01	0.870159222776953	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_55perS_02	0.882555431811279	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_75perS_03	0.891327099017589	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_65perS_05	0.917372380984514	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_55perS_10	0.924233739083522	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_75perS_08	0.937947332883187	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_75perS_02	0.949952785646837	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_75perS_04	0.979949034334764	NA	NA	1	NA
d2	CBMS1_Day2Diff_ESC_single_75perS_01	0.99379735800979	NA	NA	1	NA
d2	CBMS1_Day2Diff_ESC_single_25perS_20	0.113304807789495	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_25perS_21	0.168793562072797	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_25perS_18	0.188038793103448	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_25perS_14	0.208362815458742	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_25perS_16	0.273235264415794	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_25perS_17	0.290944642977547	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_35perS_17	0.306857989760172	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_25perS_13	0.321473137499578	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_35perS_15	0.36441449031171	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_35perS_13	0.393323901913231	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_35perS_14	0.401184905914431	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_35perS_18	0.430811777005835	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_25perS_15	0.435454484108239	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_45perS_12	0.443674060112416	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_35perS_20	0.446500050455784	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_45perS_15	0.447373737373737	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_35perS_19	0.453755180430607	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_45perS_18	0.45601024742129	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_35perS_21	0.456113750463291	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_35perS_16	0.485969988560662	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_25perS_19	0.48717517167093	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_45perS_20	0.500876128858337	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_55perS_12	0.509970644802106	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_45perS_16	0.519457746003912	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_45perS_21	0.525731822474032	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_45perS_13	0.531373143376781	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_45perS_19	0.532810078825035	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_45perS_14	0.567199865297188	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_55perS_18	0.59561846983485	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_55perS_14	0.598611251558971	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_45perS_17	0.626790710216739	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_55perS_17	0.628032526908931	NA	1	NA	NA
d2	CBMS1_Day2Diff_ESC_single_55perS_13	0.652830697643052	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_55perS_15	0.700762431684772	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_65perS_20	0.709108057127459	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_55perS_16	0.722873900293255	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_65perS_18	0.723391339538648	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_65perS_21	0.745275073274265	NA	1	NA	NA
d2	CBMS1_Day2Diff_ESC_single_55perS_19	0.750780401737242	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_65perS_16	0.757432751297782	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_65perS_14	0.760035051059958	NA	1	NA	NA
d2	CBMS1_Day2Diff_ESC_single_65perS_15	0.798700205407954	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_65perS_17	0.81065028852968	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_65perS_19	0.835795224605423	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_75perS_12	0.840715129026817	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_75perS_14	0.847366825027797	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_75perS_15	0.929412159216659	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_75perS_16	0.933892651369655	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_75perS_11	0.998725772919321	NA	NA	1	NA
d2	CBMS1_Day2Diff_ESC_single_75perS_13	0.998725943807416	NA	NA	1	NA
d3	CBMS1_Day3Diff_ESC_single_45perS_05	0.00629700262674967	NA	NA	1	NA
